trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
289,long,2679.45,2673.45,2688.78,2673.45,-6.00,SL_HIT,22,1.6
290,long,2681.63,2675.63,2690.80,2675.63,-6.00,SL_HIT,22,1.5
291,long,2678.44,2672.44,2687.95,2687.95,9.51,TP_HIT,62,1.6
292,long,2693.47,2687.47,2716.18,2687.47,-6.00,SL_HIT,8,3.8
293,long,2696.70,2696.70,2715.24,2715.24,18.54,TP_HIT,136,3.1
294,long,2725.43,2725.43,2757.83,2725.43,0.00,SL_HIT,151,5.4
295,long,2730.65,2724.65,2740.16,2740.16,9.51,TP_HIT,121,1.6
296,long,2743.43,2737.43,2752.78,2752.78,9.35,TP_HIT,141,1.6
297,long,2757.16,2751.16,2776.66,2751.16,-6.00,SL_HIT,11,3.2
298,long,2721.64,2721.64,2739.79,2739.79,18.15,TP_HIT,154,3.0
299,long,2731.59,2725.59,2750.58,2725.59,-6.00,SL_HIT,14,3.2
300,long,2737.88,2731.88,2747.83,2731.88,-6.00,SL_HIT,83,1.7
301,long,2735.77,2729.77,2754.04,2729.77,-6.00,SL_HIT,42,3.0
302,long,2736.54,2736.54,2756.58,2756.58,20.04,TP_HIT,144,3.3
303,long,2783.45,2777.45,2792.48,2777.45,-6.00,SL_HIT,74,1.5
304,long,2777.48,2771.48,2786.59,2771.48,-6.00,SL_HIT,2,1.5
305,long,2777.85,2771.85,2787.57,2787.57,9.72,TP_HIT,21,1.6
306,short,2753.76,2759.76,2734.32,2759.76,-6.00,SL_HIT,4,3.2
307,long,2741.24,2735.24,2750.72,2735.24,-6.00,SL_HIT,78,1.6
308,long,2738.72,2732.72,2749.23,2732.72,-6.00,SL_HIT,11,1.8
309,long,2742.13,2736.13,2761.70,2736.13,-6.00,SL_HIT,18,3.3
310,long,2670.23,2670.23,2689.43,2689.43,19.20,TP_HIT,18,3.2
311,long,2695.56,2689.56,2705.73,2689.56,-6.00,SL_HIT,45,1.7
312,long,2694.16,2688.16,2706.59,2706.59,12.43,TP_HIT,2,2.1
313,long,2693.60,2687.60,2702.74,2687.60,-6.00,SL_HIT,6,1.5
314,long,2689.99,2683.99,2699.29,2699.29,9.30,TP_HIT,5,1.6
315,short,2698.58,2698.58,2679.05,2679.05,19.53,TP_HIT,94,3.3
316,short,2670.87,2676.87,2661.73,2661.73,9.14,TP_HIT,6,1.5
317,short,2607.18,2613.18,2596.75,2613.18,-6.00,SL_HIT,3,1.7
318,long,2614.45,2608.45,2635.06,2608.45,-6.00,SL_HIT,4,3.4
319,short,2605.54,2611.54,2585.59,2611.54,-6.00,SL_HIT,24,3.3
320,short,2559.67,2565.67,2548.04,2565.67,-6.00,SL_HIT,3,1.9
321,short,2571.08,2577.08,2561.88,2577.08,-6.00,SL_HIT,11,1.5
322,long,2565.36,2559.36,2574.50,2574.50,9.14,TP_HIT,61,1.5
323,long,2579.66,2579.66,2668.69,2623.34,43.68,MAX_HOLD,288,14.8
324,short,2633.91,2639.91,2621.40,2621.40,12.51,TP_HIT,28,2.1
325,long,2672.32,2666.32,2682.73,2682.73,10.41,TP_HIT,18,1.7
326,long,2691.38,2685.38,2700.70,2700.70,9.32,TP_HIT,31,1.6
327,short,2705.69,2711.69,2696.51,2696.51,9.18,TP_HIT,26,1.5
328,long,2693.46,2687.46,2703.70,2703.70,10.24,TP_HIT,6,1.7
329,long,2706.28,2700.28,2715.76,2715.76,9.48,TP_HIT,46,1.6
330,long,2671.99,2671.99,2691.91,2671.99,0.00,SL_HIT,60,3.3
331,short,2653.21,2653.21,2621.17,2621.17,32.04,TP_HIT,46,5.3
332,long,2632.36,2626.36,2643.10,2626.36,-6.00,SL_HIT,17,1.8
333,long,2625.80,2619.80,2636.48,2636.48,10.68,TP_HIT,74,1.8
334,long,2642.97,2642.97,2661.52,2642.97,0.00,SL_HIT,113,3.1
335,long,2636.77,2630.77,2646.32,2646.32,9.55,TP_HIT,30,1.6
336,long,2645.66,2645.66,2665.04,2665.04,19.38,TP_HIT,53,3.2
337,long,2658.65,2652.65,2684.21,2652.65,-6.00,SL_HIT,29,4.3
338,long,2634.30,2634.30,2655.52,2634.30,0.00,SL_HIT,108,3.5
339,long,2640.68,2634.68,2660.44,2634.68,-6.00,SL_HIT,52,3.3
340,long,2640.87,2634.87,2652.87,2652.87,12.00,TP_HIT,118,2.0
341,long,2645.64,2639.64,2655.90,2639.64,-6.00,SL_HIT,15,1.7
342,long,2651.58,2645.58,2671.55,2645.58,-6.00,SL_HIT,127,3.3
343,long,2652.06,2646.06,2662.84,2646.06,-6.00,SL_HIT,16,1.8
344,short,2637.88,2637.88,2618.65,2637.88,0.00,SL_HIT,15,3.2
345,long,2641.08,2635.08,2679.63,2635.08,-6.00,SL_HIT,19,6.4
346,long,2642.76,2642.76,2663.01,2663.01,20.25,TP_HIT,85,3.4
347,long,2669.12,2663.12,2689.80,2663.12,-6.00,SL_HIT,42,3.4
348,long,2666.78,2660.78,2677.62,2677.62,10.84,TP_HIT,121,1.8
349,long,2683.11,2677.11,2692.88,2692.88,9.76,TP_HIT,31,1.6
350,long,2699.09,2693.09,2709.91,2693.09,-6.00,SL_HIT,46,1.8
351,long,2696.14,2690.14,2718.01,2690.14,-6.00,SL_HIT,9,3.6
