trade_num,direction,entry_price,sl,tp,exit_price,pnl,exit_reason,bars_held,rr_ratio
212,long,1358.63,1352.63,1367.97,1352.63,-6.00,SL_HIT,120,1.6
213,long,1362.67,1356.67,1372.64,1356.67,-6.00,SL_HIT,187,1.7
214,long,1365.62,1359.62,1376.42,1376.42,10.80,TP_HIT,10,1.8
215,long,1363.14,1357.14,1388.28,1357.14,-6.00,SL_HIT,148,4.2
216,long,1387.85,1381.85,1398.05,1381.85,-6.00,SL_HIT,30,1.7
217,long,1395.60,1389.60,1405.20,1389.60,-6.00,SL_HIT,20,1.6
218,long,1391.23,1385.23,1400.58,1400.58,9.35,TP_HIT,150,1.6
219,long,1399.68,1393.68,1408.98,1408.98,9.30,TP_HIT,70,1.6
220,long,1410.65,1404.65,1420.78,1420.78,10.12,TP_HIT,226,1.7
221,long,1426.46,1420.46,1446.11,1420.46,-6.00,SL_HIT,53,3.3
222,short,1380.40,1386.40,1364.45,1386.40,-6.00,SL_HIT,109,2.7
223,short,1384.93,1384.93,1366.78,1384.93,0.00,SL_HIT,44,3.0
224,long,1394.50,1388.50,1403.83,1403.83,9.33,TP_HIT,152,1.6
225,long,1393.56,1387.56,1416.06,1387.56,-6.00,SL_HIT,6,3.8
226,short,1372.78,1378.78,1351.03,1371.70,1.08,MAX_HOLD,288,3.6
227,long,1373.45,1367.45,1384.26,1384.26,10.80,TP_HIT,43,1.8
228,long,1398.86,1392.86,1417.31,1403.83,4.97,MAX_HOLD,288,3.1
229,short,1403.33,1409.33,1385.27,1409.33,-6.00,SL_HIT,152,3.0
230,short,1402.12,1402.12,1381.17,1381.17,20.94,TP_HIT,49,3.5
